Number,Fuente,Author,Year,Title,Publication,Pages,Language
1164,IMERNAR,"COPE, E. D.",1860,Catalogue of Colubridae in the Museum of the Academy of Natural Sciences of Philadelphia. I. Calamarinae.,Proc. Acad. Nat. Sci. Phila.,12:74-80,en
1165,IMERNAR,"COPE, E. D.",1860,"Catalogue of the Colubridae in the Museum of the Academy of Natural Sciences of Philadelphia, with notes and descriptions of new species. Part 2.",Proc. Acad. Nat. Sci. Phila.,12:241-266,en
1166,IMERNAR,"COPE, E. D.",1860,Notes and descriptions of new and little known species of American reptiles.,Proc. Acad. Nat. Sci. Phila.,12: 339-345,en
1167,IMERNAR,"COPE, E. D.",1860,Catalogue of the Colubridae in the Museum of the Academy of Natural Sciences of Philadelphia. Part 3.,Proc. Acad. Nat. Sci. Phila.,12:553-566,en
1168,IMERNAR,"COPE, E. D.",1860,Descriptions of reptiles from tropical America and Asia.,Proc. Acad. Nat. Sci. Phila.,12:368-374,en
2095,IMERNAR,NA,1860,"Description of Leptodeira torquata, a new snake from Central America.","Ann. Mag. Nat. Hist., ser. 3",5:169-171,en
2096,IMERNAR,NA,1860,On new reptiles and fishes from Mexico.,Proc. Zool. Soc. London,316-332,en
3159,IMERNAR,"MONTES DE OCA, R.",1860,The Mexican hummingbirds.,"Proc. Acad. Nat. Sci. Phila., 12","47-48, 80-81, 551-553",en
3812,IMERNAR,"SALVIN, O. y P. L. SCLATER.",1860,Contributions to the ornithology of Guatemala.,"Ibis, 2","28-45, 272-278, 396-402.",en
3919,IMERNAR,"SCLATER, P. L.",1860,Notes on a collection of birds from the vicinity of Orizaba and neighboring parts in southern Mexico.,Proc. Zool. Soc. London,250-254,en
3920,IMERNAR,"SCLATER, P. L.",1860,Characters of ten new species of American birds.,Proc. Zool. Soc. London,461-467,en
3854,IMERNAR,"Saussure, H. de",1860,Note sur quelques mammiféres du Mexique.,"Rev. Mag. Zool., ser. 2","12:3-11, 97-110, 241-254, 281-293, 479-494.",fr
3855,IMERNAR,"Saussure, H. de",1860,Note sur quelques mammiféres du Mexique.,"Paris, Imp. Bouchard-Huzard.",82 p.,fr
3537,IMERNAR,"PETERS, W.",1861,"Uber eine sammlung von Schlangen aus Huanusco in Mexico, welche das Königl. Zoologische Museum Kürzlich von Hrn. Dr. Hille erwoben hat.",Monatsb. Akad. Wiss. Berlin,pp. 460-462,de
92,IMERNAR,"ALLEN, H.",1861,Description of a new Mexican bat.,"Proc. Acad. Nat. Sci. Phila.,",13:359-361.,en
1160,IMERNAR,"COOPER, J. G.",1861,New Californian animals.,"Proc. Calif. Acad. Sci., ser. 1",2:118-123,en
1169,IMERNAR,"COPE, E. D.",1861,"Contribution to the ophiology of Lower California, Mexico, and Central America.",Proc. Acad. Nat. Sci. Phila.,13:292-306,en
4940,IMERNAR,"WRIGHT, E. P.",1861,Notes on the anatomy of the alimentary system of the axolotl.,Nat. Hist. Review,pp. 60-67,en
3856,IMERNAR,"Saussure, H. de",1861,Note complémentaire sur quelques mammiféres du Mexique.,"Rev. Mag. Zool., ser. 2",13:3-5.,fr
